  -0.54844E+01   0.16619E-01  -0.14945E-01  -0.34266E-04   0.23442E-04   0.24023E-03   0.10141E-03   0.39374E-04   0.32417E-04   0.26720E-04  -0.10028E-04   0.20197E-04  -0.24817E-04   0.10596E-03  -0.11533E-03
  -0.54531E+01   0.16150E-01  -0.13594E-01  -0.36444E-04   0.22132E-04   0.44728E-03   0.16439E-03  -0.16578E-04   0.84945E-04   0.88240E-04  -0.52686E-04   0.56699E-04  -0.49109E-05   0.10690E-03  -0.11120E-03
  -0.54219E+01   0.16289E-01  -0.11925E-01  -0.39197E-04   0.17696E-04  -0.10336E-03   0.60774E-03  -0.46133E-04   0.66121E-04   0.32320E-04   0.10523E-03  -0.27011E-06   0.48406E-04   0.11392E-03  -0.96073E-04
  -0.53906E+01   0.16382E-01  -0.89814E-02  -0.42273E-04   0.11476E-04  -0.47002E-03   0.15170E-03  -0.65292E-04   0.49816E-04  -0.83831E-04   0.90237E-04  -0.26556E-04  -0.63649E-05   0.11913E-03  -0.67440E-04
  -0.53594E+01   0.16385E-01  -0.54866E-02  -0.43433E-04   0.30778E-05  -0.31042E-03  -0.11204E-03  -0.47405E-04  -0.27134E-04  -0.47658E-04   0.27516E-04   0.19572E-04  -0.40411E-04   0.12148E-03  -0.33684E-04
  -0.53281E+01   0.15466E-01  -0.17489E-02  -0.43163E-04  -0.55730E-05  -0.19893E-03  -0.13403E-03  -0.16857E-03  -0.53576E-05  -0.11999E-03   0.14106E-04  -0.52085E-06  -0.37190E-04   0.11348E-03   0.42038E-06
  -0.52969E+01   0.14167E-01   0.14875E-02  -0.40056E-04  -0.14071E-04  -0.17024E-03  -0.10850E-03  -0.22069E-03  -0.33942E-04  -0.17129E-03  -0.22733E-04   0.26500E-04  -0.71984E-05   0.10084E-03   0.28855E-04
  -0.52656E+01   0.12211E-01   0.42394E-02  -0.35940E-04  -0.21131E-04  -0.14391E-03  -0.96239E-04  -0.14357E-03   0.11171E-03  -0.23468E-04   0.10948E-03   0.58419E-05  -0.83337E-05   0.82610E-04   0.50563E-04
  -0.52344E+01   0.10333E-01   0.62550E-02  -0.30059E-04  -0.26589E-04  -0.12905E-03  -0.84172E-04  -0.21729E-03   0.70355E-04   0.63742E-04   0.82433E-04  -0.22802E-04   0.30672E-04   0.64888E-04   0.65530E-04
  -0.52031E+01   0.82184E-02   0.77152E-02  -0.24572E-04  -0.30351E-04  -0.89588E-04  -0.63911E-04  -0.72499E-04   0.38635E-04   0.21483E-03   0.21277E-03  -0.33449E-04  -0.56487E-05   0.46039E-04   0.74115E-04
  -0.51719E+01   0.65139E-02   0.86416E-02  -0.18632E-04  -0.32496E-04  -0.12030E-03  -0.11519E-03   0.10529E-03  -0.10959E-03  -0.30313E-04   0.45849E-04   0.15805E-04   0.29279E-04   0.30750E-04   0.78892E-04
  -0.51406E+01   0.47978E-02   0.91672E-02  -0.14027E-04  -0.33693E-04  -0.10695E-03  -0.11875E-03   0.20241E-03  -0.25779E-03   0.46408E-03  -0.14298E-03   0.35459E-05  -0.37819E-04   0.16416E-04   0.79573E-04
  -0.51094E+01   0.36153E-02   0.94632E-02  -0.96419E-05  -0.33887E-04  -0.13362E-03  -0.43203E-04   0.42252E-03  -0.22360E-03   0.10463E-03  -0.41018E-03   0.27639E-04   0.75869E-04   0.63790E-05   0.79546E-04
  -0.50781E+01   0.24972E-02   0.95608E-02  -0.68657E-05  -0.33978E-04   0.20031E-04   0.42598E-04   0.14058E-03   0.12880E-03   0.46191E-03  -0.15815E-03  -0.12851E-04  -0.32871E-04  -0.23941E-05   0.77454E-04
  -0.50469E+01   0.19262E-02   0.96563E-02  -0.44624E-05  -0.33616E-04  -0.67342E-04   0.83874E-04   0.10879E-03   0.43916E-03  -0.62857E-05   0.35626E-03  -0.32870E-04  -0.43202E-04  -0.74097E-05   0.76576E-04
  -0.50156E+01   0.14791E-02   0.96174E-02  -0.36403E-05  -0.33678E-04   0.32155E-04   0.63819E-04   0.42656E-03   0.78178E-04   0.24471E-03   0.18806E-03  -0.26148E-04   0.69641E-04  -0.11309E-04   0.74605E-04
