  1.00000E+00 -1.21406E+00  3.37539E+00
  2.00000E+00 -7.85430E-01  3.13797E+00
  3.00000E+00  3.53438E-01  1.93769E+00
  4.00000E+00 -2.29286E-01  2.98552E-01
  5.00000E+00  7.61604E-01  8.88497E-01
  6.00000E+00  4.22525E-01  8.90211E-01
  7.00000E+00  4.98786E-01  9.28240E-01
  8.00000E+00  5.14535E-01  8.69896E-01
  9.00000E+00  5.10180E-01  8.54379E-01
  1.00000E+01  5.06579E-01  8.57818E-01
  1.10000E+01  5.03749E-01  8.72242E-01
  1.20000E+01  5.03368E-01  8.72522E-01
  1.30000E+01  5.05528E-01  8.69847E-01
  1.40000E+01  5.05561E-01  8.67135E-01
  1.50000E+01  5.05617E-01  8.67282E-01
  1.60000E+01  5.04841E-01  8.68067E-01
  1.70000E+01  5.05250E-01  8.68848E-01
  1.80000E+01  5.05069E-01  8.68539E-01
  1.90000E+01  5.05296E-01  8.68354E-01
  2.00000E+01  5.05202E-01  8.68315E-01
  2.10000E+01  5.05175E-01  8.68311E-01
  2.20000E+01  5.05209E-01  8.68428E-01
