     0.000000
  6.6552E+00  1.2670E-32  6.6655E-08  7.3932E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.6552E+00  4.6962E-33  6.9701E-08  2.0490E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
     0.060000
  6.3285E+00  8.4846E-03  6.3082E-03  8.4885E-03  5.2763E-01 -2.8334E-04  7.9421E-01 -6.4858E-04  2.5089E-04  6.6423E-05
  6.3285E+00  1.8367E-02  2.1707E-02  6.9363E-03  5.2763E-01 -2.8334E-04  8.1614E-01  3.4691E-02  7.3080E-06  8.4312E-05
     0.120000
  5.9855E+00  3.1634E-02  2.1020E-02  2.9031E-02  5.5845E-01 -1.1749E-03  8.8287E-01 -2.6976E-03  1.2094E-03  3.5712E-04
  5.9855E+00  2.3280E-02  4.6215E-02  6.0677E-02  5.5845E-01 -1.1749E-03  9.1633E-01  3.1788E-02 -6.7645E-06  3.7591E-04
     0.180000
  5.8656E+00  6.7917E-02  4.7080E-02  6.0820E-02  3.3968E-01 -1.8477E-03  6.1309E-01 -4.2486E-03  4.3086E-04  7.2962E-04
  5.8656E+00  2.0127E-02  6.6324E-02  1.7762E-01  3.3968E-01 -1.8477E-03  6.4873E-01  2.4897E-02 -1.6726E-05  7.6955E-04
     0.240000
  5.8278E+00  1.1758E-01  8.8213E-02  1.1876E-01  1.4822E-01 -2.2034E-03  3.6728E-01 -5.0558E-03 -1.1470E-03  6.4790E-04
  5.8278E+00  1.7994E-02  8.7164E-02  3.2052E-01  1.4822E-01 -2.2034E-03  4.1142E-01 -1.2906E-02 -2.0397E-05  5.4104E-04
     0.300000
  5.8403E+00  1.8042E-01  1.3500E-01  1.8179E-01  9.7386E-02 -2.3587E-03  3.0552E-01 -5.3761E-03  9.8832E-04  5.3810E-04
  5.8403E+00  1.7125E-02  1.1882E-01  4.7027E-01  9.7386E-02 -2.3587E-03  3.4821E-01  1.8984E-02 -1.8370E-05  2.7292E-04
     0.360000
  5.8768E+00  2.5611E-01  1.8382E-01  2.4563E-01  1.6028E-01 -2.4165E-03  4.2026E-01 -5.4615E-03  9.5202E-04  7.3612E-04
  5.8768E+00  1.4912E-02  1.4610E-01  6.3787E-01  1.6028E-01 -2.4165E-03  4.5807E-01 -4.6572E-03 -1.4559E-05  4.2491E-04
     0.420000
