     istep       time        |phi|^2       |apar|^2       |bpar|^2
      8800   8.8000E+001   3.8644E+000   2.3884E-002   7.3297E-004
      8900   8.9000E+001   4.7222E+000   2.9166E-002   8.9465E-004
      9000   9.0000E+001   5.7688E+000   3.5613E-002   1.0918E-003
      9100   9.1000E+001   7.0451E+000   4.3482E-002   1.3322E-003
      9200   9.2000E+001   8.6012E+000   5.3086E-002   1.6255E-003
      9300   9.3000E+001   1.0498E+001   6.4806E-002   1.9834E-003
      9400   9.4000E+001   1.2811E+001   7.9109E-002   2.4204E-003
      9500   9.5000E+001   1.5631E+001   9.6568E-002   2.9542E-003
      9600   9.6000E+001   1.9072E+001   1.1788E-001   3.6063E-003
      9700   9.7000E+001   2.3272E+001   1.4390E-001   4.4031E-003
      9800   9.8000E+001   2.8400E+001   1.7567E-001   5.3767E-003
      9900   9.9000E+001   3.4663E+001   2.1446E-001   6.5662E-003
     10000   1.0000E+002   4.2316E+001   2.6183E-001   8.0193E-003
